订单号,商品名称,实付款,下单时间,店铺名称,消费类别
2024011500001,Apple iPhone 15,5999,2024-01-15 10:23:45,Apple官方旗舰店,电子产品
2024011500002,小米手环8,299,2024-01-15 14:56:12,小米官方旗舰店,电子产品
2024011600003,优衣库羽绒服,599,2024-01-16 09:12:33,优衣库官方旗舰店,服装鞋帽
2024011700004,三只松鼠坚果礼盒,128,2024-01-17 16:45:21,三只松鼠旗舰店,食品饮料
2024011800005,戴尔笔记本电脑,6500,2024-01-18 11:30:00,戴尔官方旗舰店,电子产品
2024011900006,耐克运动鞋,589,2024-01-19 15:20:18,耐克官方旗舰店,服装鞋帽
2024012000007,星巴克咖啡券,200,2024-01-20 08:45:30,星巴克官方店,食品饮料
2024012100008,海飞丝洗发水,89,2024-01-21 19:30:45,宝洁官方旗舰店,日用百货
2024012200009,华为荣耀手机,2999,2024-01-22 13:15:22,华为官方旗舰店,电子产品
2024012300010,阿迪达斯外套,799,2024-01-23 10:05:18,阿迪达斯官方旗舰店,服装鞋帽
2024012400011,kindle电子书阅读器,658,2024-01-24 14:22:09,亚马逊官方旗舰店,电子产品
2024012500012,蒙牛牛奶礼盒,158,2024-01-25 09:48:33,蒙牛官方旗舰店,食品饮料
2024012600013,无印良品收纳盒,129,2024-01-26 16:12:45,无印良品官方旗舰店,日用百货
2024012700014,苹果AirPods耳机,1399,2024-01-27 11:35:20,Apple官方旗舰店,电子产品
2024012800015,李宁运动裤,399,2024-01-28 13:50:11,李宁官方旗舰店,服装鞋帽
2024012900016,雅诗兰黛面霜,680,2024-01-29 10:20:33,雅诗兰黛官方旗舰店,日用百货
2024013000017,德芙巧克力礼盒,168,2024-01-30 15:45:28,德芙官方旗舰店,食品饮料
2024013100018,宜家台灯,199,2024-01-31 09:30:15,宜家官方旗舰店,日用百货
2024020100019,森马卫衣,259,2024-02-01 14:15:42,森马官方旗舰店,服装鞋帽
2024020200020,良品铺子零食,98,2024-02-02 16:30:21,良品铺子旗舰店,食品饮料
2024020300021,小米充电宝,149,2024-02-03 10:45:33,小米官方旗舰店,电子产品
2024020400022,百草味坚果,118,2024-02-04 13:20:18,百草味旗舰店,食品饮料
2024020500023,Nike Air Max,899,2024-02-05 09:55:40,耐克官方旗舰店,服装鞋帽
2024020600024,华为手表,1999,2024-02-06 15:10:25,华为官方旗舰店,电子产品
2024020700025,太平鸟羽绒服,699,2024-02-07 11:40:12,太平鸟官方旗舰店,服装鞋帽