订单号,商品名称,实付款,下单时间,店铺名称
001, Apple手机 ,1500,2024-01-15,Apple官方旗舰店
002,Apple手机,1500,2024/01/16, Apple官方旗舰店
003,apple手机 ,"1,500",2024-1-17,Apple 官方旗舰店
001, Apple手机 ,1500,2024-01-15,Apple官方旗舰店
004,Samsung手机,,2024-01-18,Samsung旗舰店
005, Samsung手机 ,2000,20240119,Samsung旗舰店
006,,500,2024-01-20,
007,小米手机,800,2024-01-21,小米官方店
008,HUAWEI手机,2999,2024-01-22,华为官方旗舰店
009,华为手机,2999,2024-01-22,华为官方旗舰店
010,OPPO手机  ,1899,2024/01/23,OPPO官方旗舰店
011,vivo手机,2299,2024-1-24,vivo官方旗舰店
012, 一加手机,3499,2024-01-25,一加官方旗舰店
013,魅族手机,1599,2024/01/26,魅族官方旗舰店
014,联想笔记本,4999,2024-01-27,联想官方旗舰店
015,戴尔笔记本,"6,500",2024-01-28,戴尔官方旗舰店
016,HP笔记本,5200,2024/01/29,惠普官方旗舰店
017,华硕笔记本,5800,2024-1-30,华硕官方旗舰店
018, MacBook Pro,12999,2024-01-31,Apple官方旗舰店
019,耐克运动鞋,589,2024-02-01,耐克官方旗舰店
020,阿迪达斯运动鞋 ,699,2024/02/02,阿迪达斯官方旗舰店
021,李宁运动鞋,399,2024-2-03,李宁官方旗舰店
022,安踏运动鞋,459,2024-02-04, 安踏官方旗舰店
023,361度运动鞋,399,2024/02/05,361度官方旗舰店
024,匡威帆布鞋  ,459,2024-2-06,匡威官方旗舰店
025,优衣库羽绒服,599,2024-02-07,优衣库官方旗舰店
026, ZARA连衣裙,499,2024/02/08,ZARA官方旗舰店
027,HM短袖T恤,99,2024-2-09,HM官方旗舰店
028,GU休闲裤  ,199,2024-02-10,GU官方旗舰店
029,太平鸟羽绒服,699,2024/02/11,太平鸟官方旗舰店
030,森马卫衣,259,2024-2-12, 森马官方旗舰店